Layer,Step,Model,Pair,t-similarity
10,5,wav2vec2_finetuned,task-dask,0.59828824
10,6,wav2vec2_finetuned,task-dask,0.83978593
10,7,wav2vec2_finetuned,task-dask,0.85634094
10,8,wav2vec2_finetuned,task-dask,0.91085345
10,9,wav2vec2_finetuned,task-dask,0.9070662
10,10,wav2vec2_finetuned,task-dask,0.9427132
11,0,wav2vec2_finetuned,dash-tash,0.12353027
11,1,wav2vec2_finetuned,dash-tash,0.6017517
11,2,wav2vec2_finetuned,dash-tash,0.66657585
11,3,wav2vec2_finetuned,dash-tash,0.66838264
11,4,wav2vec2_finetuned,dash-tash,0.51963097
11,5,wav2vec2_finetuned,dash-tash,0.906528
11,6,wav2vec2_finetuned,dash-tash,0.9463535
11,7,wav2vec2_finetuned,dash-tash,0.94257283
11,8,wav2vec2_finetuned,dash-tash,0.9727723
11,9,wav2vec2_finetuned,dash-tash,0.97177327
11,10,wav2vec2_finetuned,dash-tash,0.97828406
11,0,wav2vec2_finetuned,task-dask,0.13513517
11,1,wav2vec2_finetuned,task-dask,0.15449464
11,2,wav2vec2_finetuned,task-dask,0.2859745
11,3,wav2vec2_finetuned,task-dask,0.40751058
11,4,wav2vec2_finetuned,task-dask,0.4681642
11,5,wav2vec2_finetuned,task-dask,0.8172934
11,6,wav2vec2_finetuned,task-dask,0.9639839
11,7,wav2vec2_finetuned,task-dask,0.96789145
11,8,wav2vec2_finetuned,task-dask,0.9775458
11,9,wav2vec2_finetuned,task-dask,0.9768393
11,10,wav2vec2_finetuned,task-dask,0.9835264
12,0,wav2vec2_finetuned,dash-tash,0.17308772
12,1,wav2vec2_finetuned,dash-tash,0.21314764
12,2,wav2vec2_finetuned,dash-tash,0.31440723
12,3,wav2vec2_finetuned,dash-tash,0.3391261
12,4,wav2vec2_finetuned,dash-tash,0.32315016
12,5,wav2vec2_finetuned,dash-tash,0.7676258
12,6,wav2vec2_finetuned,dash-tash,0.8765704
12,7,wav2vec2_finetuned,dash-tash,0.84543705
12,8,wav2vec2_finetuned,dash-tash,0.91538674
12,9,wav2vec2_finetuned,dash-tash,0.91955316
12,10,wav2vec2_finetuned,dash-tash,0.941943
12,0,wav2vec2_finetuned,task-dask,0.26290262
12,1,wav2vec2_finetuned,task-dask,0.29701078
12,2,wav2vec2_finetuned,task-dask,0.3482328
12,3,wav2vec2_finetuned,task-dask,0.39562184
12,4,wav2vec2_finetuned,task-dask,0.5997903
12,5,wav2vec2_finetuned,task-dask,0.7657783
12,6,wav2vec2_finetuned,task-dask,0.9073266
12,7,wav2vec2_finetuned,task-dask,0.91981643
12,8,wav2vec2_finetuned,task-dask,0.9452014
12,9,wav2vec2_finetuned,task-dask,0.9377287
12,10,wav2vec2_finetuned,task-dask,0.94970036
